feature,coefficient,abs_coef
log_n_user_turns,0.6881026857406425,0.6881026857406425
log_return_interval_hours,-0.3457825436313194,0.3457825436313194
fpp_rate,0.28646531232973,0.28646531232973
refusal_resistance_rate,0.1956545373672322,0.1956545373672322
n_user_turns,-0.17064334140897497,0.17064334140897497
filler_rate,0.1398321841779728,0.1398321841779728
hedging_rate,0.12907118708521914,0.12907118708521914
question_to_statement_ratio,0.06774126572930599,0.06774126572930599
type_token_ratio,-0.04085540067325757,0.04085540067325757
mean_message_length,0.03327631471640111,0.03327631471640111
self_disclosure_rate,0.028019775283454566,0.028019775283454566
return_interval_hours,0.023076272801753304,0.023076272801753304
sentiment_slope,-0.020869611077213794,0.020869611077213794
punctuation_rate,-0.018121229960730734,0.018121229960730734
gratitude_rate,0.017263259180695642,0.017263259180695642
